Category,Price,Rating,Stock,Discount
Unknown,102.0,4.4675534523641405,Out of Stock,19.0
Unknown,103.0,3.0382925191086185,Unknown,16.0
Unknown,105.0,1.5633995804439635,Out of Stock,31.0
B,107.0,2.374994990160254,In Stock,24.516624685138538
A,108.0,3.0382925191086185,Unknown,24.0
D,112.0,3.0382925191086185,In Stock,48.0
A,112.0,3.7344032317676903,Out of Stock,23.0
D,119.0,4.179211664673361,In Stock,0.0
Unknown,124.0,3.0382925191086185,In Stock,19.0
Unknown,124.0,3.0382925191086185,Unknown,11.0
C,126.0,3.0382925191086185,Out of Stock,23.0
C,131.0,1.5132316203787592,Out of Stock,34.0
Unknown,131.0,3.0382925191086185,In Stock,39.0
Unknown,134.0,2.3056786008194177,Out of Stock,45.0
C,136.0,4.919616415138267,In Stock,12.0
B,138.0,3.0382925191086185,Unknown,21.0
B,141.0,2.0441359764942715,In Stock,15.0
Unknown,141.0,3.0382925191086185,In Stock,15.0
Unknown,144.0,2.687356240354497,Unknown,31.0
Unknown,147.0,3.3370857650904133,Out of Stock,24.516624685138538
A,153.0,4.507532756226666,In Stock,8.0
Unknown,157.0,3.0382925191086185,Out of Stock,24.0
Unknown,158.0,3.0382925191086185,Out of Stock,12.0
Unknown,162.0,3.0382925191086185,Unknown,36.0
Unknown,165.0,2.379961257531627,Out of Stock,24.516624685138538
Unknown,166.0,4.983784435131211,Out of Stock,45.0
B,166.0,4.166715605612955,Out of Stock,1.0
Unknown,169.0,2.5987982488191426,Unknown,49.0
Unknown,171.0,3.0382925191086185,Out of Stock,30.0
Unknown,174.0,3.0382925191086185,In Stock,28.0
C,175.0,3.746934376203901,Unknown,40.0
Unknown,175.0,2.787663748716072,Unknown,9.0
Unknown,176.0,3.0382925191086185,Out of Stock,33.0
D,177.0,3.0382925191086185,In Stock,31.0
A,177.0,3.0382925191086185,Unknown,24.516624685138538
A,185.0,3.0382925191086185,Out of Stock,9.0
B,186.0,1.44579856669476,Unknown,16.0
